id_proyecto,proyecto,grupo,promotor_razon_social,provincia,municipios,situacion,primer_tramite,ultimo_tramite,n_tramites,n_tramites_oficiales,fiabilidad_maxima,potencia_electrica_mw,potencia_informatica_mw,potencia_transformacion_mva,detalle_potencia,nudo_de_conexion,superficie_ha,superficie_construida_m2,inversion_expediente_meur,inversion_anunciada_meur,origen_inversion,pem_electrico_eur,ids_expedientes,doc_urbanistico,doc_ambiental,doc_electrico,doc_interes_autonomico,doc_municipal,doc_patrimonial,notas,potencia_demanda_mva,expedientes_enlazados
MA-P02-2,Expediente MDF-02,,,Madrid,Daganzo de Arriba,,2026-04-14,2026-04-14,1,1,OFICIAL,,,,,,,,,,,,MDF-02,,https://www.bocm.es/boletin/CM_Orden_BOCM/2026/04/14/BOCM-20260414-31.PDF,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
MA-P03-2,Expediente MDF-03,,,Madrid,Alcobendas,,2026-04-27,2026-04-27,1,1,OFICIAL,,,,,,,,,,,,MDF-03,,https://www.bocm.es/boletin/CM_Orden_BOCM/2026/04/27/BOCM-20260427-47.PDF,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
MA-P01-3,Expediente MDF-04,,,Madrid,Alcobendas,,2023-12-13,2023-12-13,1,1,OFICIAL,,,,,,,,,,,,MDF-04,,https://www.bocm.es/boletin/CM_Orden_BOCM/2023/12/13/BOCM-20231213-41.PDF,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
PV-P02,Expediente PVF-03,,,Araba/Álava,Ribabellosa,,2025-07-18,2025-07-18,1,1,OFICIAL,,,,,,,,,,,,PVF-03,,https://www.euskadi.eus/y22-bopv/es/bopv2/datos/2025/07/2503166a.pdf,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
PV-P03,Expediente PVF-04,,,Bizkaia,Zamudio,,2025-11-14,2025-11-14,1,1,OFICIAL,,,,,,,,,,,,PVF-04,,https://www.euskadi.eus/y22-bopv/es/bopv2/datos/2025/11/2504856a.pdf,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
PV-P05,Expediente PVF-07,,,Araba/Álava,Ribabellosa,,2026-06-24,2026-06-24,1,1,OFICIAL,,,,,,,,,,,,PVF-07,,https://www.euskadi.eus/y22-bopv/es/bopv2/datos/2026/06/2602828a.pdf,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
PV-P06,Expediente PVF-08,,,Araba/Álava,Laguardia,,2021-09-20,2021-09-20,1,1,OFICIAL,,,,,,,,,,,,PVF-08,,,,,https://www.araba.eus/BOTHA/Boletines/2021/107/2021_107_03092_C.pdf,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
PV-P01-2,Expediente PVF-09,,,Álava,Ribabellosa,,2023-05-09,2023-05-09,1,1,OFICIAL,,,,,,,,,,,,PVF-09,,https://www.euskadi.eus/y22-bopv/es/bopv2/datos/2023/05/2302486a.pdf,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
CO-P01,Expediente VCF-01,,,Alacant/Alicante,Monforte del Cid,,2026-06-26,2026-06-26,1,1,OFICIAL,,,,,,,,,,,,VCF-01,,https://dogv.gva.es/es/disposicio?id=2026_21901,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
MA-P01,FVI ASG Spanish Propco 3 - Meco,,"FVI ASG Spanish Propco 3, SL",Madrid,Meco,Plazo finalizado,2025-05-16,2025-06-17,2,2,OFICIAL,,,100.0,,,,,8.745586679999999,,,8745586.68,MA-01; MA-02,,,https://bocm.es/boletin/CM_Orden_BOCM/2025/06/16/BOCM-20250616-52.PDF,,,,Transformacion leida del expediente: 2 x 50 MVA,,2
GA-P01,Galicia Green Data Center - Curtis,,"Galicia Green Data Center, SL",A Coruña,Curtis,,2025-01-23,2026-02-16,2,2,OFICIAL,,,,,,,,,,,,GAF-01; GAF-03,https://www.xunta.gal/dog/Publicados/2025/20250123/AnuncioG0763-200125-0002_es.pdf,,,,,,Agrupacion de confianza baja: misma sociedad (NIF B70639513),,2
CB-P06,Google - Santander (PCTCAN),,Google,Cantabria,Santander (PCTCAN),Compraventa formalizada segun la nota de SODERCAN de 07-05-2026; licencia o expediente de la instalacion no localizados en el BOC,2026-05-07,2026-05-07,1,0,OFICIAL-NP,,,,,imputa nada,0.5908,5907.72,,,,,CB-06,,,,,,https://www.sodercan.es/google-construira-en-el-pctcan-un-centro-de-transmision-de-datos-vinculado-al-cable-submarino-sol/,,,1
MA-P06,"I-DE Redes Electricas Inteligentes - Alcobendas, Algete, Getafe",,I-DE Redes Electricas Inteligentes,Madrid,Alcobendas; Algete; Getafe; Madrid; San Agustin del Guadalix; San Sebastian de los Reyes,Autorizada,2025-06-27,2025-12-24,4,4,OFICIAL,,,,,,,,,,,,MA-09; MA-10; MA-15; MA-19,,,https://www.comunidad.madrid/transparencia/2024p1475-proyecto-instalacion-subestacion-maniobra-y-reparto-smr-socimi-hiland-getafe-i-redes,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 6 municipios,,4
MA-P01-2,"I-DE Redes Electricas Inteligentes - Alcobendas, San Sebastián de los Reyes",,I-DE Redes Electricas Inteligentes,Madrid,Alcobendas; San Sebastián de los Reyes,,2025-04-25,2025-04-25,1,1,OFICIAL,,,,,,,,,,,,MDF-01,,https://www.bocm.es/boletin/CM_Orden_BOCM/2025/04/25/BOCM-20250425-28.PDF,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 2 municipios; misma sociedad que un bloque ya revisado,,1
CM-P12,Iberdrola - Toledo,,Iberdrola,Toledo,Toledo,"Anunciado; sin expediente del centro de datos localizado en DOCM, Nevia ni BOE",2026-08-19,2026-08-19,1,0,PRENSA,,,,,asignan MW,,,,,,,CLM-24,,https://www.elespanol.com/eldigitalcastillalamancha/economia/empresas/20260819/veto-gobierno-macroplanta-aceca-no-frena-iberdrola-proyecta-gran-centro-datos-toledo/1003744357801_0.html,,,,,,,1
MA-P14,"Ignis Data Alfa - No consta, Villalbilla",,"Ignis Data Alfa, SL",Madrid,No consta; Villalbilla,En tramitacion,2026-02-10,2026-06-11,2,2,OFICIAL,,,,,,,,17.43534387,,,17435343.87,MA-27; MA-35,https://www.comunidad.madrid/urbanismo/aceleradora-urbanistica,,https://www.bocm.es/boletin/CM_Orden_BOCM/2026/02/10/BOCM-20260210-36.PDF,,,,Agrupacion de confianza media: misma sociedad (denominacion); 2 municipios,,2
MA-P13,"Ignis Data Beta - Alcobendas, San Sebastian de los Reyes",,"Ignis Data Beta, SL",Madrid,Alcobendas; San Sebastian de los Reyes,En plazo de alegaciones,2026-03-06,2026-03-06,1,1,OFICIAL,250.0,,,Electrica: 250 MW de demanda asignada; 53 MW de suministro confirmado desde ST Arroyo de la Vega 220 kV,,21.25,15798.0,,,,,MA-26,https://www.comunidad.madrid/transparencia/sia-26036-plan-especial-infraestructuras-pei-data-beta-i-san-sebastian-reyes-y-alcobendas,,,,,,Agrupacion de confianza media: misma sociedad (NIF B13685219); 2 municipios,,1
MA-P12,"Ignis Data Tria - Loeches, San Fernando de Henares, Torres de la Alameda",,"Ignis Data Tria, SLU",Madrid,Loeches; San Fernando de Henares; Torres de la Alameda,En plazo de alegaciones,2026-02-16,2026-04,2,2,OFICIAL,484.0,,,Electrica: demanda autorizada 484 MW (112 MW por cada uno de los dos CPD),,167.6,38216.0,,,,,MA-24; MA-25,https://www.comunidad.madrid/transparencia/sia-26081-plan-especial-infraestructuras-henares-digital-campus-fase-2-infraestructura-centro,,,,,,Agrupacion de confianza media: misma sociedad (NIF B06963367); 3 municipios,,2
AR-P11-2,Instituto Aragonés de Fomento - Zaragoza,,Instituto Aragonés de Fomento,Zaragoza,Zaragoza,,2025-08-20,2025-08-20,1,1,OFICIAL,,,,,,82.0,,,,,,ARF-33,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1408344820404,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,1
MA-P07,Interxion Espana - Madrid (c/ Alfonso Gomez 4),,"Interxion Espana, SL",Madrid,Madrid (c/ Alfonso Gomez 4),Informacion publica,2026-01-12,2026-01-12,1,1,OFICIAL,,,20.0,,,,,0.45262,,,452620.0,MA-13,,,https://www.bocm.es/boletin/CM_Orden_BOCM/2026/01/12/BOCM-20260112-49.PDF,,,,Transformacion leida del expediente: 20 MVA,,1
MA-P18,Iron Mountain Data Centers España - San Fernando de Henares,,"Iron Mountain Data Centers España, SLU",Madrid,San Fernando de Henares,,2025-11-12,2026-01-30,2,2,OFICIAL,,,252.0,,,,,9.80206433,,,9802064.33,MA-32; MA-34,,,https://www.bocm.es/boletin/CM_Orden_BOCM/2025/11/12/BOCM-20251112-65.PDF,,,,Transformacion leida del expediente: 4 x 63 MVA,,2
